Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"QCL","Cultivos y productos de ganadería","178","Congo","5510","Producción","01610","Café, verde","2019","2019","toneladas","3107.08","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","178","Congo","5510","Producción","01610","Café, verde","2020","2020","toneladas","3122.08","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","178","Congo","5510","Producción","01610","Café, verde","2021","2021","toneladas","3126.74","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","178","Congo","5510","Producción","01610","Café, verde","2022","2022","toneladas","3118.63","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01610","Café, verde","2013","2013","toneladas","71381","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01610","Café, verde","2014","2014","toneladas","96735","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01610","Café, verde","2015","2015","toneladas","83846","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01610","Café, verde","2016","2016","toneladas","93720","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01610","Café, verde","2017","2017","toneladas","90419","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01610","Café, verde","2018","2018","toneladas","92016","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01610","Café, verde","2019","2019","toneladas","76385","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01610","Café, verde","2020","2020","toneladas","86791","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01610","Café, verde","2021","2021","toneladas","83449","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","188","Costa Rica","5510","Producción","01610","Café, verde","2022","2022","toneladas","79200","X","Cifra de fuentes internacionales","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","384","Côte d'Ivoire","5510","Producción","01610","Café, verde","2013","2013","toneladas","103743","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","384","Côte d'Ivoire","5510","Producción","01610","Café, verde","2014","2014","toneladas","109913.47","I","Valor imputado",""
"QCL","Cultivos y productos de ganadería","384","Côte d'Ivoire","5510","Producción","01610","Café, verde","2015","2015","toneladas","127000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","384","Côte d'Ivoire","5510","Producción","01610","Café, verde","2016","2016","toneladas","106000","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","384","Côte d'Ivoire","5510","Producción","01610","Café, verde","2017","2017","toneladas","33600","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","384","Côte d'Ivoire","5510","Producción","01610","Café, verde","2018","2018","toneladas","123900","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","384","Côte d'Ivoire","5510","Producción","01610","Café, verde","2019","2019","toneladas","95204","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","384","Côte d'Ivoire","5510","Producción","01610","Café, verde","2020","2020","toneladas","82366","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","384","Côte d'Ivoire","5510","Producción","01610","Café, verde","2021","2021","toneladas","61312","A","Cifra oficial",""
